episode,reward,length,epsilon
1,-86.61012747761643,125,0.049975000000000006
2,-377.3827123706675,118,0.04995001250000001
3,-149.7377199715243,90,0.04992503749375001
4,-138.95007421698176,134,0.049900074975003136
5,-97.94676101608826,128,0.049875124937515634
6,-267.43201649892364,103,0.04985018737504688
7,-164.72137134283986,86,0.04982526228135936
8,-143.990913900452,72,0.049800349650218685
9,-299.7727380836337,99,0.04977544947539358
10,-103.78247914075442,104,0.04975056175065588
11,-85.60060272985385,78,0.04972568646978056
12,-292.34308865716315,75,0.049700823626545675
13,-66.9295205296243,81,0.049675973214732404
14,-427.6965917950562,94,0.04965113522812504
15,-309.68655565436245,118,0.04962630966051098
16,-79.41094153496714,127,0.04960149650568073
17,-283.51769457761867,105,0.04957669575742789
18,-245.15933028550222,104,0.04955190740954918
19,-142.56081106388626,105,0.049527131455844406
20,-69.23322757626431,69,0.049502367890116486
21,-519.2428327568763,83,0.04947761670617143
22,-93.94660713885209,82,0.04945287789781835
23,-192.2974099939167,82,0.04942815145886944
24,-157.1904681157415,58,0.04940343738314001
25,-176.34415195785743,115,0.04937873566444844
26,-358.561114038642,92,0.049354046296616216
27,-367.42677974214183,107,0.04932936927346791
28,-86.40546756053422,66,0.04930470458883118
29,-294.19441513891763,89,0.04928005223653677
30,-148.03883597647695,91,0.0492554122104185
31,-139.10916326662192,72,0.04923078450431329
32,-308.2091425040311,112,0.04920616911206114
33,-140.84793477344692,86,0.04918156602750511
34,8.521758574193768,82,0.04915697524449136
35,-167.01013450922397,68,0.04913239675686912
36,-133.39371298351767,118,0.04910783055849069
37,-77.540045598668,71,0.049083276643211445
38,-125.1689987508563,99,0.049058735004889845
39,-94.1961805482491,85,0.049034205637387404
40,-90.6462641187806,65,0.04900968853456871
41,-107.48375840651772,92,0.04898518369030143
42,-92.13782557881571,115,0.04896069109845628
43,-155.8477438942151,101,0.04893621075290705
44,-179.69040512981815,111,0.0489117426475306
45,13.197854316924122,113,0.04888728677620684
46,-83.99424192126648,67,0.04886284313281874
47,-196.2943891307984,114,0.04883841171125233
48,-146.04626327095463,84,0.04881399250539671
