episode,reward,length,epsilon
174,-266.3291219341669,76,0.04583285757374475
175,-127.83261662845948,116,0.04580994114495788
176,-92.32754476748313,100,0.045787036174385405
177,-111.42593789945596,94,0.04576414265629822
178,-248.1543706983255,136,0.04574126058497007
179,-7.8769870339078665,144,0.04571838995467759
180,-377.17519762522033,148,0.04569553075970026
181,-106.81108527607844,153,0.04567268299432041
182,-443.16282225980495,113,0.045649846652823255
183,-296.84142956630154,107,0.04562702172949685
184,-199.22726679820096,86,0.045604208218632106
185,-130.5494234831961,69,0.04558140611452279
186,-249.0974936029971,93,0.04555861541146553
187,-414.58850349280135,102,0.0455358361037598
188,-278.4667756967982,174,0.045513068185707925
189,-96.19726377607977,114,0.04549031165161507
190,-160.69138436947233,158,0.045467566495789265
191,-306.28124183451826,160,0.04544483271254137
192,-162.47689855635343,127,0.045422110296185106
193,-139.14837025291374,131,0.04539939924103702
194,-265.6769456895413,142,0.0453766995414165
195,-104.10505543670176,91,0.045354011191645796
196,-343.9585655119229,103,0.045331334186049975
197,-74.12435618460292,82,0.04530866851895695
198,-213.16830345193932,211,0.04528601418469747
199,-145.47200027577986,142,0.04526337117760513
200,-294.3562875471814,125,0.045240739492016326
201,-76.12520023682109,76,0.04521811912227032
202,-115.19663979069801,130,0.045195510062709186
203,-173.41112468146417,106,0.04517291230767784
204,-84.60486086671344,98,0.045150325851524
205,-127.54231942570067,153,0.04512775068859824
206,-86.79349825219026,67,0.04510518681325395
207,-205.1138542468837,128,0.045082634219847324
208,-129.74694016763362,92,0.0450600929027374
209,-409.6906803573794,78,0.04503756285628604
210,-116.30054875236117,111,0.045015044074857895
211,-149.85178359463953,131,0.04499253655282047
212,-346.83358266610173,132,0.044970040284544065
213,-57.70341340285071,113,0.04494755526440179
214,-295.7262207439019,91,0.044925081486769596
215,-144.61574458819751,96,0.044902618946026214
216,-274.9511303483121,116,0.044880167636553205
217,-163.52634096308358,133,0.04485772755273493
218,-241.57368958763453,118,0.04483529868895856
219,-26.401411344353207,189,0.04481288103961408
220,-197.68981297029995,77,0.04479047459909428
221,-136.56768061579513,99,0.044768079361794735
222,-52.676448137256585,95,0.04474569532211384
223,-200.17142341070814,83,0.044723322474452785
224,-116.02070838505603,102,0.04470096081321556
225,19.332305520770745,102,0.044678610332808955
226,-123.1395767458893,80,0.04465627102764255
227,-114.96327848710382,132,0.044633942892128735
228,-76.10486502424794,119,0.04461162592068267
229,-201.23583181625315,160,0.04458932010772233
230,-245.43915678696666,88,0.044567025447668475
231,-107.89365012853062,89,0.04454474193494464
232,-210.09619629147042,108,0.04452246956397717
233,-270.5458249162887,113,0.044500208329195184
234,-101.00296865099575,103,0.04447795822503059
235,-109.2612084403128,74,0.044455719245918075
236,-90.65582620575518,107,0.04443349138629512
237,-142.64863926162803,98,0.044411274640601975
238,-83.21302324985089,113,0.04438906900328168
239,-60.3163829762799,110,0.044366874468780036
240,-100.34284371891918,97,0.04434469103154565
241,-163.62419876319157,131,0.04432251868602988
242,-99.750741717583,132,0.044300357426686865
243,-214.71267925820172,127,0.044278207247973524
244,-35.326262285334195,178,0.04425606814434954
245,-170.50976848870874,120,0.04423394011027737
246,-154.89480531330184,65,0.044211823140222234
247,-325.6891351975636,128,0.04418971722865213
248,-58.103620649893834,84,0.0441676223700378
249,-216.50173921976366,96,0.04414553855885279
250,13.073187053947805,142,0.044123465789573366
251,-88.81702002418477,84,0.04410140405667858
252,-153.18982103987778,128,0.04407935335465025
253,-121.73140771734612,119,0.04405731367797293
254,-325.9161355726194,129,0.04403528502113394
255,-494.9409759384767,135,0.04401326737862338
256,-198.2064842045553,131,0.04399126074493407
257,-230.9297539612948,103,0.043969265114561604
258,-71.10719367182445,67,0.043947280482004324
259,-265.3899009330216,159,0.04392530684176332
260,-56.9174557932849,134,0.04390334418834244
261,-75.51741579568913,118,0.04388139251624827
262,-158.47694112096758,126,0.04385945181999015
263,-202.36735612182395,134,0.04383752209408016
264,-370.50289459260927,155,0.04381560333303312
265,-187.5558150984951,155,0.043793695531366604
266,5.234324033471111,113,0.043771798683600927
267,-88.05361111038629,165,0.04374991278425913
268,-205.67426550450543,69,0.043728037827867
269,-360.89817234413783,105,0.04370617380895307
270,-150.5769378713507,88,0.0436843207220486
271,-78.08681466444723,87,0.043662478561687576
272,-122.98454225471441,146,0.04364064732240674
273,-271.8329865251086,116,0.04361882699874554
274,-253.05096927990672,130,0.043597017585246166
275,-282.1332354255185,141,0.04357521907645354
276,-96.15279039008243,142,0.043553431466915316
277,-114.84709336015206,186,0.04353165475118186
278,-155.9618570276562,185,0.04350988892380627
279,-152.57084089412194,84,0.04348813397934437
280,-120.86007704105894,104,0.0434663899123547
